time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-15 00:00:00,1702598400,3.7,38.6,0,4.5,7.2,243,WSW,1030.0,30.41,0.0,0.0,88,6,1.8,35.3,1.8,35.3,3.7,38.6,1.9,35.4,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Clear
2023-12-15 01:00:00,1702602000,3.5,38.4,0,5.1,8.3,245,WSW,1031.0,30.43,0.0,0.0,88,10,1.4,34.4,1.4,34.4,3.5,38.4,1.7,35.1,0,0,0,0,10.0,6.0,10.8,17.4,1.0,Clear
2023-12-15 02:00:00,1702605600,3.4,38.2,0,4.7,7.6,247,WSW,1032.0,30.46,0.0,0.0,88,17,1.4,34.5,1.4,34.5,3.4,38.2,1.6,34.9,0,0,0,0,10.0,6.0,9.9,15.9,1.0,Clear
2023-12-15 03:00:00,1702609200,3.4,38.2,0,4.5,7.2,238,WSW,1032.0,30.48,0.0,0.0,88,33,1.5,34.7,1.5,34.7,3.4,38.2,1.6,34.8,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Partly cloudy
2023-12-15 04:00:00,1702612800,3.7,38.7,0,4.5,7.2,240,WSW,1033.0,30.49,0.0,0.0,86,27,1.9,35.3,1.9,35.3,3.7,38.7,1.7,35.0,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Partly cloudy
2023-12-15 05:00:00,1702616400,3.5,38.4,0,4.5,7.2,218,SW,1033.0,30.49,0.0,0.0,86,11,1.7,35.0,1.7,35.0,3.5,38.4,1.5,34.7,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Clear
2023-12-15 06:00:00,1702620000,3.6,38.5,0,4.3,6.8,227,SW,1033.0,30.51,0.0,0.0,85,14,1.8,35.3,1.8,35.3,3.6,38.5,1.3,34.3,0,0,0,0,10.0,6.0,8.9,14.4,1.0,Clear
2023-12-15 07:00:00,1702623600,3.5,38.3,0,4.5,7.2,226,SW,1034.0,30.53,0.0,0.0,84,25,1.6,34.9,1.6,34.9,3.5,38.3,1.2,34.1,0,0,0,0,10.0,6.0,9.4,15.1,1.0,Partly cloudy
2023-12-15 08:00:00,1702627200,3.5,38.3,0,4.9,7.9,230,SW,1035.0,30.56,0.0,0.0,84,25,1.4,34.5,1.4,34.5,3.5,38.3,1.1,33.9,0,0,0,0,10.0,6.0,10.3,16.6,1.0,Clear
2023-12-15 09:00:00,1702630800,3.7,38.6,1,5.1,8.3,227,SW,1036.0,30.6,0.0,0.0,84,29,1.5,34.7,1.5,34.7,3.7,38.6,1.2,34.2,0,0,0,0,10.0,6.0,10.8,17.4,2.0,Partly cloudy
2023-12-15 10:00:00,1702634400,4.8,40.6,1,5.1,8.3,212,SSW,1036.0,30.61,0.0,0.0,82,54,2.8,37.1,2.8,37.1,4.8,40.6,2.1,35.7,0,0,0,0,10.0,6.0,10.0,16.0,2.0,Partly cloudy
2023-12-15 11:00:00,1702638000,6.1,43.0,1,5.1,8.3,220,SW,1037.0,30.62,0.0,0.0,80,69,4.4,39.9,4.4,39.9,6.1,43.0,2.9,37.3,0,0,0,0,10.0,6.0,8.6,13.8,2.0,Cloudy
2023-12-15 12:00:00,1702641600,7.0,44.6,1,6.5,10.4,216,SW,1037.0,30.61,0.0,0.0,78,70,5.0,41.0,5.0,41.0,7.0,44.6,3.4,38.2,0,0,0,0,10.0,6.0,10.7,17.2,2.0,Cloudy
2023-12-15 13:00:00,1702645200,7.9,46.2,1,6.3,10.1,211,SSW,1036.0,30.61,0.0,0.0,76,62,6.1,42.9,6.1,42.9,7.9,46.2,4.0,39.2,0,0,0,0,10.0,6.0,10.0,16.2,3.0,Partly cloudy
2023-12-15 14:00:00,1702648800,7.6,45.6,1,7.2,11.5,211,SSW,1036.0,30.6,0.0,0.0,79,16,5.5,41.8,5.5,41.8,7.6,45.6,4.2,39.5,0,0,0,0,10.0,6.0,12.5,20.1,3.0,Sunny
2023-12-15 15:00:00,1702652400,6.8,44.2,1,7.8,12.6,221,SW,1037.0,30.61,0.0,0.0,83,15,4.3,39.7,4.3,39.7,6.8,44.2,4.2,39.5,0,0,0,0,10.0,6.0,14.5,23.4,3.0,Sunny
2023-12-15 16:00:00,1702656000,5.7,42.3,0,7.2,11.5,218,SW,1037.0,30.63,0.0,0.0,90,36,3.2,37.8,3.2,37.8,5.7,42.3,4.2,39.5,0,0,0,0,10.0,6.0,15.0,24.2,1.0,Partly cloudy
2023-12-15 17:00:00,1702659600,5.6,42.0,0,7.4,11.9,215,SW,1037.0,30.63,0.0,0.0,91,36,3.0,37.4,3.0,37.4,5.6,42.0,4.2,39.6,0,0,0,0,10.0,6.0,15.5,24.9,1.0,Partly cloudy
2023-12-15 18:00:00,1702663200,5.5,41.9,0,7.8,12.6,216,SW,1037.0,30.63,0.0,0.0,91,50,2.7,36.9,2.7,36.9,5.5,41.9,4.2,39.6,0,0,0,0,10.0,6.0,16.4,26.5,1.0,Partly cloudy
2023-12-15 19:00:00,1702666800,5.8,42.4,0,8.5,13.7,222,SW,1037.0,30.64,0.0,0.0,92,26,2.9,37.3,2.9,37.3,5.8,42.4,4.6,40.2,0,0,0,0,10.0,6.0,17.9,28.7,1.0,Partly cloudy
2023-12-15 20:00:00,1702670400,5.9,42.6,0,7.8,12.6,219,SW,1038.0,30.65,0.0,0.0,93,25,3.2,37.8,3.2,37.8,5.9,42.6,4.9,40.7,0,0,0,0,10.0,6.0,16.4,26.5,1.0,Clear
2023-12-15 21:00:00,1702674000,5.8,42.4,0,7.4,11.9,221,SW,1038.0,30.66,0.0,0.0,94,22,3.2,37.8,3.2,37.8,5.8,42.4,5.0,40.9,0,0,0,0,2.0,1.0,15.5,24.9,1.0,Mist
2023-12-15 22:00:00,1702677600,5.8,42.5,0,6.9,11.2,223,SW,1038.0,30.67,0.0,0.0,95,66,3.4,38.2,3.4,38.2,5.8,42.5,5.1,41.1,0,0,0,0,2.0,1.0,14.6,23.4,1.0,Mist
2023-12-15 23:00:00,1702681200,6.5,43.8,0,6.5,10.4,215,SW,1039.0,30.67,0.0,0.0,95,74,4.4,40.0,4.4,40.0,6.6,43.8,5.9,42.5,0,0,0,0,2.0,1.0,13.4,21.6,1.0,Mist
